NOME_BANCO,ANO,TRIMESTRE,NUMERO_OP,VOLUME_OP,NUMERO_INTERBANK,VOLUME_INTERBANK,RESULT_OP,DESPESA_OP
SANTANDER,2022,3,242827,39838541,5414,56404180,0,-74616
CITIBANK,2022,3,85251,64082042,2226,26381904,0,-336859
ITAU,2022,3,428681,56756803,3596,32361499,0,-648640
JP MORGAN CHASE,2022,3,20768,41775019,2725,30413154,474899,0
BB,2022,3,328438,55720562,2239,12954191,210708,0
SOCIETE GENERALE,2022,3,4291,3587524,2294,54916099,0,-418484
BRADESCO,2022,3,176715,29046030,2576,14303282,543769,0
BTG PACTUAL,2022,3,21222,13160924,2221,24699304,898738,0
BNP PARIBAS,2022,3,16380,10981809,5647,12496930,0,-239369
BOFA MERRILL LYNCH,2022,3,6226,16492380,921,5832576,270854,0
BANCO MUFG BRASIL S.A.,2022,3,3506,1606089,3449,18112404,0,-72675
STATE STREET BRASIL S.A. - BANCO COMERCIAL,2022,3,1108,10892494,354,5454010,80393,0
GOLDMAN SACHS,2022,3,1407,10115275,229,5505809,0,-46992
ABN AMRO,2022,3,1862,13313692,68,1201250,21099,0
BANCO HSBC S.A.,2022,3,1723,3882198,1144,7251843,47558,0
DEUTSCHE BANK S.A. - BANCO ALEMAO,2022,3,2737,2868955,3318,7108427,0,-136604
VOTORANTIM,2022,3,5510,3214790,3610,6694390,128600,0
ABC-BRASIL,2022,3,4022,3055900,882,6069686,113427,0
C6 BANK,2022,3,197190,3517350,1118,4657545,20001,0
MORGAN STANLEY,2022,3,2059,4981040,122,3057014,105,0
CONFIDENCE,2022,3,299342,4032056,35385,3768879,141862,0
Banco Central do Brasil,2022,3,0,0,6,6012375,0,0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.,2022,3,1616,2468763,560,3467111,0,-44891
XP,2022,3,34583,3937130,505,1864741,88705,0
BANCO TOP�ZIO S.A.,2022,3,231373,2345069,11442,3277934,25536,0
MS BANK S.A. BANCO DE C�MBIO,2022,3,47964,382241,2714,4842876,7195,0
BANCO OURINVEST S.A.,2022,3,202228,2637263,37290,2326675,84255,0
SCOTIABANK,2022,3,499,1294884,177,2677274,3766,0
CREDIT SUISSE,2022,3,899,2307495,101,1552341,165310,0
BANCO MIZUHO DO BRASIL S.A.,2022,3,1464,1131830,531,2352636,0,-37759
BANCO SUMITOMO MITSUI BRASILEIRO S.A.,2022,3,5103,1710153,431,1727145,51958,0
RENDIMENTO,2022,3,702244,1469811,32646,1933703,54204,0
SAFRA,2022,3,123166,1751548,1571,1495651,143201,0
DAYCOVAL,2022,3,316838,1930846,5292,1307290,123343,0
CREDIT AGRICOLE,2022,3,261,383545,449,2837824,221888,0
